,evidences,final_pops,net_evidences,nets,posteriors,probs,Experiment,exp_id
6,0.25,0.5,0.3333333333333333,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,5.960464122267695e-08,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
7,0.75,0.5,0.6666666666666666,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999403953588,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
8,0.75,0.45,0.7222222222222222,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999997671692,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
9,0.25,0.3,0.19444444444444445,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,5.6843418860804437e-14,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
10,0.5,0.4,0.3611111111111111,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,9.536734069124128e-07,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
11,0.0,0.4,0.3055555555555556,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,3.7252902845841114e-09,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
12,0.25,0.35,0.3055555555555556,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,3.7252902845841114e-09,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
13,0.75,0.65,0.7222222222222222,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999997671692,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
14,1.0,0.75,0.75,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999854481,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
15,0.0,0.35,0.2222222222222222,5-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,9.09494701772096e-13,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
16,0.25,0.3,0.08333333333333333,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,8.673617379883964e-19,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
17,1.0,0.7,0.8333333333333334,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999964,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
18,0.0,0.4,0.16666666666666666,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,3.5527136788004646e-15,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
19,0.75,0.4,0.75,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999854481,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
20,1.0,0.55,0.7777777777777778,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999990904,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
21,0.5,0.4,0.8333333333333334,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999964,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
22,0.25,0.3,0.2222222222222222,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,9.09494701772096e-13,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
23,1.0,0.8,0.8611111111111112,6-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999998,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
24,1.0,0.7,0.8055555555555556,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999432,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
25,0.75,0.65,0.8611111111111112,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999998,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
26,0.75,0.5,0.8611111111111112,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999998,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
27,0.0,0.3,0.1388888888888889,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,2.2204460492502968e-16,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
28,0.25,0.3,0.2222222222222222,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,9.09494701772096e-13,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
29,0.5,0.4,0.16666666666666666,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,3.5527136788004646e-15,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
30,0.5,0.35,0.7777777777777778,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999990904,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
31,0.0,0.25,0.2777777777777778,7-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,2.3283064359965846e-10,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
0,0.25,0.0,0.4722222222222222,4-b7d0390f-rounds-10-evidence-4-population-5,0.30769230769230765,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
1,0.5,0.4,0.4444444444444444,4-b7d0390f-rounds-10-evidence-4-population-5,0.16494845360824748,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
2,0.75,0.6,0.6666666666666666,4-b7d0390f-rounds-10-evidence-4-population-5,0.9923516022235626,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
3,0.5,0.6,0.6111111111111112,4-b7d0390f-rounds-10-evidence-4-population-5,0.9624468241161801,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
