,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
28,0.625,0.65,0.75,0.9939015458466767,0.75,noviid,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.65,0.7703688690717471,0.8363898916967509
29,0.6875,0.65,0.5,0.9939015458466767,0.15,paked,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.4,0.48138888888888887,0.5479977272165815
30,0.625,0.65,0.75,0.9939015458466767,0.9,cewab,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.8,0.7896606156274665,0.8512063808574277
31,0.75,0.7,0.5,0.9982499612913132,0.45,edarti,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.95,0.58375,0.6468564008224218
32,0.75,0.75,0.75,0.9998904428345072,0.9,uthug,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.9,0.8019648397104447,0.8605461638491548
33,0.3,0.3333333333333333,0.5,0.032025441751417444,0.45,arpoep,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.1,0.4255555555555556,0.4917644698565554
34,0.7,0.625,0.25,0.995324187782666,0.1,azzitha,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.95,0.31855388813096863,0.3435501020144258
35,0.6,0.5833333333333334,0.5,0.9838237500076912,0.55,thuevil,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.75,0.5465277777777777,0.6115218842955139
36,0.65,0.625,0.5,0.995324187782666,0.6,noviid,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.75,0.5465277777777777,0.6115218842955139
37,0.65,0.625,0.5,0.995324187782666,0.35,paked,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.15,0.4348611111111111,0.5012544870111191
