id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
47,2018-05-05 16:11:38.458118,,,,,,f,,participant,47,3FDJT1UU751ZDCEZNBEH3I4CLSU5KO,47:3FDJT1UU751ZDCEZNBEH3I4CLSU5KO,30QQTY5GMKDPGSZ0FGSEJ5VL98MU77,live,2018-05-05 16:17:11.140667,1.8,0,approved
91,2018-05-06 10:39:59.271682,,,,,,f,,participant,91,336YQZE83W7U30E28NRXIVWGAYIM55,91:336YQZE83W7U30E28NRXIVWGAYIM55,3TRB893CSJ36BAY5VB3XFQUU00IG74,live,2018-05-06 10:54:30.162719,1.8,0,approved
126,2018-05-06 21:37:33.191737,,,,,,f,,participant,126,3R8YZBNQ9IB0BJQDO9DBXOUHB537QL,126:3R8YZBNQ9IB0BJQDO9DBXOUHB537QL,3TZDZ3Y0JSZDLEWVSPGEMZHUT1Y19C,live,2018-05-06 21:45:28.316348,1.8,0,approved
48,2018-05-05 16:38:01.309239,,,,,,f,,participant,48,3HQUKB7LNG7KRFXMISCTFNRAYKHHHD,48:3HQUKB7LNG7KRFXMISCTFNRAYKHHHD,304QEQWKZPDGLCFJYVVW5KT9J8T0O1,live,2018-05-05 16:43:16.069805,1.8,0,approved
67,2018-05-06 00:23:05.958544,,,,,,f,,participant,67,3EWIJTFFVP0XW50OUJX2OSVGKN60EX,67:3EWIJTFFVP0XW50OUJX2OSVGKN60EX,3S1L4CQSFXYIGC08RU9Z7WW80TJFAQ,live,2018-05-06 00:29:18.985933,1.8,0,approved
101,2018-05-06 13:48:37.111887,,,,,,f,,participant,101,31QTRG6Q2U6YQRLZB5OMAWO4A80YPW,101:31QTRG6Q2U6YQRLZB5OMAWO4A80YPW,3CZH926SIC7B89KVNIF2CBP8WIF4ET,live,2018-05-06 13:52:18.634256,1.8,0,approved
80,2018-05-06 08:06:16.393685,,,,,,f,,participant,80,32SCWG5HIIXW77BT5MTUR54BBX36PY,80:32SCWG5HIIXW77BT5MTUR54BBX36PY,3CRWSLD91KXDOQMQN0IU3H0MMB3MO7,live,2018-05-06 08:12:19.433884,1.8,0,approved
49,2018-05-05 20:18:22.294876,,,,,,f,,participant,49,33LKR6A5KFDZSD33GXQX1JERSPQ1TI,49:33LKR6A5KFDZSD33GXQX1JERSPQ1TI,3FI30CQHVKCRGTCPWF6R8131PCWB69,live,2018-05-05 20:23:53.011519,1.8,0,approved
70,2018-05-06 02:53:49.615328,,,,,,f,,participant,70,3L2IS5HSFBBH6XPHLPE53MDWE4FUNN,70:3L2IS5HSFBBH6XPHLPE53MDWE4FUNN,39TX062QX1HZWDS8I90BQVI9YOOX34,live,2018-05-06 03:00:23.8839,1.8,0,approved
94,2018-05-06 11:04:29.491496,,,,,,f,,participant,94,3M0NZ3JDP2RU27DLNCHRQXSPP20Z5Z,94:3M0NZ3JDP2RU27DLNCHRQXSPP20Z5Z,3421H3BM9AAKGVCZIEMKQZDGNINJ9N,live,2018-05-06 11:08:29.994177,1.8,0,approved
50,2018-05-05 20:58:24.960747,,,,,,f,,participant,50,384PI804XTUY6O56VEH7D9ZVLE70SQ,50:384PI804XTUY6O56VEH7D9ZVLE70SQ,3OJX0UFJ0Z0TUBNTUDQYX1MR4YE9U2,live,2018-05-05 21:05:09.902178,1.8,0,approved
130,2018-05-06 22:36:24.760755,,,,,,f,,participant,130,3OHYZ19UGDYF99BVGZXRIA17XCSAO8,130:3OHYZ19UGDYF99BVGZXRIA17XCSAO8,3Z56AA6EK4TNZKGMN4W0MHEV1BLM6U,live,2018-05-06 22:45:52.157222,1.8,0,approved
73,2018-05-06 06:47:41.298268,,,,,,f,,participant,73,3K3R2QNK8CWWHVLNKFV0LLIC9F29U7,73:3K3R2QNK8CWWHVLNKFV0LLIC9F29U7,3VO4XFFP15FXOZSJY78994YW6NP7QO,live,2018-05-06 06:51:42.242086,1.8,0,approved
51,2018-05-05 21:06:32.716837,,,,,,f,,participant,51,3634BBTX0PN09EH0TK6ECEGCIIUIFK,51:3634BBTX0PN09EH0TK6ECEGCIIUIFK,3G5RUKN2ECWGZL3KXCECJ6UXW2LN9O,live,2018-05-05 21:13:42.322384,1.8,0,approved
135,2018-05-07 00:39:20.251255,,,,,,f,,participant,135,3EFVCAY5L42NPARJ3OL8ENEQ8ULJ8X,135:3EFVCAY5L42NPARJ3OL8ENEQ8ULJ8X,3TX9T2ZCB9ULS6UBTBZYSD9H4HXWZN,live,2018-05-07 00:47:09.202314,1.8,0,approved
95,2018-05-06 13:11:34.232355,,,,,,f,,participant,95,3U5JL4WY5L2N1T968PAWOK60H69X4X,95:3U5JL4WY5L2N1T968PAWOK60H69X4X,3087LXLJ6M9MFZ2QZSC6IQKVR7D0FQ,live,2018-05-06 13:16:17.659422,1.8,0,approved
52,2018-05-05 21:16:58.666125,,,,,,f,,participant,52,3MMN5BL1W0XRPLRYU4343YYWW1A3MD,52:3MMN5BL1W0XRPLRYU4343YYWW1A3MD,362E9TQF2HJ30UF1E27U6FK3EGMIGU,live,2018-05-05 21:25:16.478599,1.8,0,approved
141,2018-05-07 05:03:02.94828,,,,,,f,,participant,141,3TVSS0C0E2TSTEJ6DLFIU94LO4XTWB,141:3TVSS0C0E2TSTEJ6DLFIU94LO4XTWB,3MZ3TAMYTLGUPKOFUD165JYAGPKIRD,live,2018-05-07 05:07:51.08625,1.8,0,approved
76,2018-05-06 07:32:20.290897,,,,,,f,,participant,76,3QECW5O0KIUYGV4MHKS949R845CT59,76:3QECW5O0KIUYGV4MHKS949R845CT59,31MBOZ6PAOKS9J72XJ8O84RGXSUCLY,live,2018-05-06 07:37:57.894283,1.8,0,approved
85,2018-05-06 09:14:00.417006,,,,,,f,,participant,85,3JNQLM5FT5FIYLDUQSOKKBEFQI0L2Y,85:3JNQLM5FT5FIYLDUQSOKKBEFQI0L2Y,32CAVSKPCEIB56KYQ0B5IV486MX1US,live,2018-05-06 09:25:49.690692,1.8,0,approved
105,2018-05-06 15:05:04.363642,,,,,,f,,participant,105,3EA3QWIZ4JOASJZ1O4B3TIVD9SPTIS,105:3EA3QWIZ4JOASJZ1O4B3TIVD9SPTIS,3GVPRXWRPHNK7140LZ30027AFDDI71,live,2018-05-06 15:11:01.332093,1.8,0,approved
109,2018-05-06 15:30:57.173052,,,,,,f,,participant,109,3ZPPDN2SLWPFSZO1UFGVH3W9NSH9E1,109:3ZPPDN2SLWPFSZO1UFGVH3W9NSH9E1,3RTFSSG7T8Z1NHD7EA8PKYYJP8GLWK,live,2018-05-06 15:35:55.745208,1.8,0,approved
144,2018-05-07 05:28:03.902607,,,,,,f,,participant,144,3ND9UOO81LV4A1B14CDR8IU4URDLW2,144:3ND9UOO81LV4A1B14CDR8IU4URDLW2,39KMGHJ4RZ3VIVN0WATLFJXRL54002,live,2018-05-07 05:33:32.52765,,,returned
108,2018-05-06 15:26:47.789889,,,,,,f,,participant,108,3OVHNO1VE7UP6KSE2IZAO9GH2J4DZR,108:3OVHNO1VE7UP6KSE2IZAO9GH2J4DZR,3HYV4299H0PCRA7XZL5FTN5DY4CE8B,live,2018-05-06 15:30:18.849085,1.8,0,approved
150,2018-05-07 07:01:28.140238,,,,,,f,,participant,150,32KTQ2V7RE8D4NGEBD4EUB1IWVNM9K,150:32KTQ2V7RE8D4NGEBD4EUB1IWVNM9K,3BDORL6HKK63CH2F235KUG0F3K1RCL,live,2018-05-07 07:09:56.18225,1.8,0,approved
113,2018-05-06 16:33:29.886203,,,,,,f,,participant,113,31Q0U3WYDQ8CUF6W3UNWWNM93TR716,113:31Q0U3WYDQ8CUF6W3UNWWNM93TR716,3S37Y8CWI8T5P96M8I98YHW83MM4WB,live,2018-05-06 16:39:10.900258,1.8,0,approved
116,2018-05-06 17:16:15.308431,,,,,,f,,participant,116,38F71OA9GUPM5X7REZ4647NTZS8FMT,116:38F71OA9GUPM5X7REZ4647NTZS8FMT,373L46LKP7Z4XRVQMBD9G8RWYC3KJM,live,2018-05-06 17:20:52.951416,1.8,0,approved
120,2018-05-06 18:23:43.854286,,,,,,f,,participant,120,3FTF2T8WLSB99ZASFFA13939UWU9WP,120:3FTF2T8WLSB99ZASFFA13939UWU9WP,3RHLQY6EDTX6G36VRN4I6T7NW6KD4F,live,2018-05-06 18:32:02.101394,1.8,0,approved
248,2018-05-09 10:34:07.453123,,,,,,f,,participant,248,3H7XDTSHKDKOO9X0TLGBVQPWYL1WG3,248:3H7XDTSHKDKOO9X0TLGBVQPWYL1WG3,32FESTC2NHJVS9UW6X0PZRNZAN1CUE,live,2018-05-09 10:41:40.655227,1.8,0,approved
164,2018-05-07 10:39:33.478676,,,,,,f,,participant,164,3AAPLD8UCDAAWOOHIMTIT6UY9GWHTB,164:3AAPLD8UCDAAWOOHIMTIT6UY9GWHTB,3L55D8AUFAQC9IE1GYXE2CTC67HYCV,live,2018-05-07 10:47:24.691578,1.8,0,approved
199,2018-05-08 07:18:36.274935,,,,,,f,,participant,199,388U7OUMF8UM595TGPH2NZUZZIIR0Z,199:388U7OUMF8UM595TGPH2NZUZZIIR0Z,35YHTYFL1GW280362P0V3JALL4YFV7,live,2018-05-08 07:27:32.128986,1.8,0,approved
165,2018-05-07 11:09:21.23629,,,,,,f,,participant,165,3LO69W1SU468DFL1P799MF8G03XLGD,165:3LO69W1SU468DFL1P799MF8G03XLGD,30EV7DWJTVONT15067KBGC12AM76YE,live,2018-05-07 11:14:10.51614,1.8,0,approved
201,2018-05-08 09:18:30.761264,,,,,,f,,participant,201,3R2UR8A0IB9R5MJOR9P52IC5Y2OXOW,201:3R2UR8A0IB9R5MJOR9P52IC5Y2OXOW,37NXA7GVSTZO8SD2O03TYWF5I0LVLT,live,2018-05-08 09:22:28.092793,1.8,0,approved
166,2018-05-07 11:21:32.179831,,,,,,f,,participant,166,351SEKWQS1AP7DTVNT9GG7K8NGBDM1,166:351SEKWQS1AP7DTVNT9GG7K8NGBDM1,36U4VBVNQO6ZYBJFOUQKOMMLALBRU0,live,2018-05-07 11:26:16.795955,1.8,0,approved
203,2018-05-08 09:38:45.55385,,,,,,f,,participant,203,3RJSC4XJ11NX0M7VJI4ZKYP3701052,203:3RJSC4XJ11NX0M7VJI4ZKYP3701052,3GS542CVJVGC9WXETCIQPPUB5I4955,live,2018-05-08 09:49:22.659545,1.8,0,approved
174,2018-05-07 17:35:19.543225,,,,,,f,,participant,174,3JZQSN0I3R3MDNB53W6BR23W38CGF6,174:3JZQSN0I3R3MDNB53W6BR23W38CGF6,3T5ZXGO9DEHG89YPH20S0ORVGHSQZR,live,2018-05-07 17:41:47.181883,1.8,0,approved
167,2018-05-07 11:37:45.793953,,,,,,f,,participant,167,3DZQRBDBSM8UNG43E1ZQF7X2OS5S3V,167:3DZQRBDBSM8UNG43E1ZQF7X2OS5S3V,3IVKZBIBJ026U4D83KJQVH2R2FSHSD,live,2018-05-07 11:45:46.983382,1.8,0,approved
222,2018-05-08 22:15:42.750953,,,,,,f,,participant,222,3H7XDTSHKDKOO9X0TLGBVQPWYHAGWO,222:3H7XDTSHKDKOO9X0TLGBVQPWYHAGWO,3D3B8GE892KG26FXDRR4NVZSWJQP9U,live,2018-05-08 22:23:20.753768,1.8,0,approved
205,2018-05-08 12:13:28.816647,,,,,,f,,participant,205,3RYC5T2D74MPTQ9DXAWS20V77QDRPP,205:3RYC5T2D74MPTQ9DXAWS20V77QDRPP,3INZSNUD80J7D9C78I09N1I3IZ4D9J,live,2018-05-08 12:19:10.812919,1.8,0,approved
168,2018-05-07 11:47:50.328166,,,,,,f,,participant,168,3PMBY0YE28W0V14NYOA0RFW62IZC9A,168:3PMBY0YE28W0V14NYOA0RFW62IZC9A,3KVQ0UJWPXENLSAMMNSI392M3JY5W0,live,2018-05-07 11:50:44.424214,1.8,0,approved
169,2018-05-07 12:14:21.496755,,,,,,f,,participant,169,3TPWUS5F8AUB7XHVRZKS5Z4H0JMCW2,169:3TPWUS5F8AUB7XHVRZKS5Z4H0JMCW2,3538U0YQ1FNIWR1NIFUPKOI2UKH3FA,live,2018-05-07 12:21:25.688644,,,returned
207,2018-05-08 12:33:20.138056,,,,,,f,,participant,207,3AMW0RGHOEV4ESHL43FBTGQX6TRNP0,207:3AMW0RGHOEV4ESHL43FBTGQX6TRNP0,32TMVRKDGNRUZ8A4AFT2K1TMLGU84D,live,2018-05-08 12:38:29.504607,1.8,0,approved
170,2018-05-07 14:23:53.747449,,,,,,f,,participant,170,3HMVI3QICKLV9Z2XQ3DW90667U51YA,170:3HMVI3QICKLV9Z2XQ3DW90667U51YA,3538U0YQ1FNIWR1NIFUPKOI2UKH3FA,live,2018-05-07 14:30:13.804872,1.8,0,approved
